pr_id,repo,ast_total_nodes,ast_max_depth,ast_files_parsed,ast_files_attempted,ast_files_fallback,ast_parse_success_rate,ast_error_node_count,ast_func_def_count,ast_class_def_count,ast_if_count,ast_loop_count,ast_try_count,ast_return_count,ast_assignment_count
2982655795,kubernetes/kubernetes,38,10,1,1,0,1.0,3,0,0,0,0,0,0,0
2986965670,kubernetes/kubernetes,108,12,1,1,0,1.0,0,1,0,1,0,0,2,3
3053707565,kubernetes/kubernetes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3074670104,kubernetes/kubernetes,40,10,1,1,0,1.0,0,0,0,0,0,0,0,1
3487370131,kubernetes/kubernetes,28166,896,54,55,0,0.9818,75,228,61,99,21,0,309,265
3204855521,kubernetes/kubernetes,209,48,5,5,0,1.0,9,0,0,1,0,0,0,0
3302895842,kubernetes/kubernetes,7,3,1,1,0,1.0,1,0,0,0,0,0,0,0
3039082353,kubernetes/kubernetes,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0
3281299634,kubernetes/kubernetes,740,70,10,10,0,1.0,10,3,2,0,0,0,0,2
3046860696,kubernetes/kubernetes,334,78,7,7,0,1.0,1,0,0,0,0,0,0,6
3036711672,kubernetes/kubernetes,29,7,7,7,0,1.0,0,0,0,0,0,0,0,0
3833898790,kubernetes/kubernetes,1259,71,7,7,0,1.0,16,4,0,6,0,0,8,20
3142304538,kubernetes/kubernetes,332,9,1,1,0,1.0,8,0,0,0,2,0,0,5
3267518995,kubernetes/kubernetes,27,5,1,1,0,1.0,0,0,0,0,0,0,0,0
3493625409,kubernetes/kubernetes,732,59,5,6,0,0.8333,11,2,1,6,2,0,0,9
3085495453,kubernetes/kubernetes,93,5,1,1,0,1.0,1,0,0,0,0,0,0,0
3211428612,kubernetes/kubernetes,1982,25,1,1,0,1.0,0,3,0,22,1,0,0,55
3225314552,kubernetes/kubernetes,648,33,4,4,0,1.0,13,2,0,0,0,0,6,11
3460530224,kubernetes/kubernetes,2300,93,6,6,0,1.0,2,20,1,10,6,0,12,29
3499150229,kubernetes/kubernetes,70,5,1,1,0,1.0,0,0,0,0,0,0,0,0
3420898872,kubernetes/kubernetes,37,10,1,1,0,1.0,3,0,0,0,0,0,0,0
3620716268,kubernetes/kubernetes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3061743078,kubernetes/kubernetes,30,8,2,2,0,1.0,0,0,0,0,0,0,0,1
3682155935,kubernetes/kubernetes,1011,24,3,3,0,1.0,9,6,3,4,4,0,7,16
3403091034,kubernetes/kubernetes,1603,53,5,5,0,1.0,3,2,1,14,4,0,3,30
3424138634,kubernetes/kubernetes,10307,117,3,3,0,1.0,31,36,3,63,0,0,63,111
3357473713,kubernetes/kubernetes,96,11,1,1,0,1.0,0,0,0,0,0,0,0,2
2985728044,kubernetes/kubernetes,3,1,1,1,0,1.0,0,0,0,0,0,0,0,0
3121626860,kubernetes/kubernetes,97,13,1,1,0,1.0,1,0,0,1,0,0,0,3
3332465594,kubernetes/kubernetes,1602,84,11,11,0,1.0,29,4,0,7,4,0,12,23
3446672991,kubernetes/kubernetes,200,23,3,3,0,1.0,11,1,3,0,0,0,0,0
2981967498,kubernetes/kubernetes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3430470810,kubernetes/kubernetes,899,35,2,2,0,1.0,7,1,0,4,3,0,2,12
3670871898,kubernetes/kubernetes,594,37,3,3,0,1.0,3,2,0,3,1,0,5,4
3203330000,kubernetes/kubernetes,33,7,1,1,0,1.0,0,0,0,0,0,0,0,1
3888134347,kubernetes/kubernetes,1996,86,8,8,0,1.0,22,5,6,21,5,0,10,25
3153460445,kubernetes/kubernetes,3666,105,10,10,0,1.0,39,16,0,19,0,0,26,41
3150338516,kubernetes/kubernetes,4628,65,4,4,0,1.0,1,4,1,53,2,0,5,42
3843302387,kubernetes/kubernetes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3670258196,kubernetes/kubernetes,66,6,1,1,0,1.0,6,0,0,0,0,0,0,0
3274762548,kubernetes/kubernetes,163,27,3,3,0,1.0,5,0,0,1,0,0,2,1
3594731923,kubernetes/kubernetes,2642,28,2,2,0,1.0,0,39,0,0,0,0,0,41
3271729782,kubernetes/kubernetes,1714,34,4,4,0,1.0,21,2,0,11,0,0,12,38
3409856973,kubernetes/kubernetes,4559,102,12,12,0,1.0,93,8,2,13,6,0,17,25
3883663022,kubernetes/kubernetes,643,34,4,6,0,0.6667,2,3,2,6,4,0,5,3
3297197856,kubernetes/kubernetes,361,17,4,4,0,1.0,5,0,0,0,0,0,0,0
3008704156,kubernetes/kubernetes,9479,172,13,16,0,0.8125,27,38,4,51,27,0,47,125
3271605094,kubernetes/kubernetes,6700,164,11,11,0,1.0,24,17,11,65,20,0,22,88
3208176889,kubernetes/kubernetes,1068,23,2,2,0,1.0,6,7,0,3,0,0,0,13
3432160310,kubernetes/kubernetes,104,14,2,2,0,1.0,0,1,0,0,0,0,0,1
3650810808,kubernetes/kubernetes,1021,45,3,3,0,1.0,1,2,0,7,4,0,2,20
3603435686,kubernetes/kubernetes,1184,72,8,8,0,1.0,1,24,0,6,2,0,25,13
3929598222,kubernetes/kubernetes,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3054982686,kubernetes/kubernetes,3263,207,24,27,0,0.8889,63,10,2,22,3,0,27,81
3068213159,kubernetes/kubernetes,4991,68,7,8,0,0.875,51,6,0,1,0,0,7,9
3688324818,kubernetes/kubernetes,289,12,1,1,0,1.0,4,0,0,1,0,0,1,10
3041262302,kubernetes/kubernetes,1908,92,9,9,0,1.0,19,7,2,21,4,0,25,34
3389046387,kubernetes/kubernetes,23558,367,21,22,0,0.9545,3,119,15,49,54,0,39,316
3108595992,kubernetes/kubernetes,48126,1777,152,156,0,0.9744,715,104,86,168,80,0,143,522
3009091335,kubernetes/kubernetes,1115,64,7,7,0,1.0,37,1,0,0,0,0,6,3
3235947299,kubernetes/kubernetes,2508,79,9,9,0,1.0,87,4,33,9,10,0,8,19
3073584871,kubernetes/kubernetes,61,9,1,1,0,1.0,0,0,0,2,0,0,0,3
3637017076,kubernetes/kubernetes,346617,9078,1185,1249,0,0.9488,3789,1169,414,1287,385,0,1707,3355
3345905754,kubernetes/kubernetes,66,15,2,2,0,1.0,3,0,0,0,0,0,0,0
3872801735,kubernetes/kubernetes,49,3,1,1,0,1.0,6,0,0,0,0,0,0,0
3254827553,kubernetes/kubernetes,1232,136,26,26,0,1.0,0,0,0,0,0,0,1,19
3334142813,kubernetes/kubernetes,274,11,2,2,0,1.0,0,0,0,0,0,0,0,1
3245774574,kubernetes/kubernetes,45,9,1,1,0,1.0,0,0,0,0,0,0,1,0
3193862952,kubernetes/kubernetes,5108,90,5,5,0,1.0,19,6,0,11,5,0,5,82
