pr_id,repo,cfg_total_nodes,cfg_total_edges,cfg_branch_nodes,cfg_loop_nodes,cfg_exit_nodes,cfg_entry_nodes,cfg_cyclomatic_complexity,cfg_max_branch_depth,cfg_avg_out_degree,cfg_files_processed,cfg_files_with_cfg,cfg_available
2982655795,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
2986965670,kubernetes/kubernetes,11,11,1,0,2,1,2,1,1.0,1,1,True
3053707565,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,0,0,False
3074670104,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
3487370131,kubernetes/kubernetes,2018,2088,124,15,254,54,178,1,1.0347,55,54,True
3204855521,kubernetes/kubernetes,17,14,2,0,0,5,7,0,0.8235,5,5,True
3302895842,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
3039082353,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,1,0,False
3281299634,kubernetes/kubernetes,34,24,0,0,2,10,10,0,0.7059,10,10,True
3046860696,kubernetes/kubernetes,18,11,1,0,0,7,7,0,0.6111,7,7,True
3036711672,kubernetes/kubernetes,14,7,0,0,0,7,7,0,0.5,7,7,True
3833898790,kubernetes/kubernetes,98,97,10,0,8,7,13,1,0.9898,7,7,True
3142304538,kubernetes/kubernetes,18,20,5,1,1,1,4,1,1.1111,1,1,True
3267518995,kubernetes/kubernetes,3,2,0,0,0,1,1,0,0.6667,1,1,True
3493625409,kubernetes/kubernetes,72,73,6,1,0,5,11,1,1.0139,6,5,True
3085495453,kubernetes/kubernetes,3,2,0,0,0,1,1,0,0.6667,1,1,True
3211428612,kubernetes/kubernetes,188,210,22,1,0,1,24,1,1.117,1,1,True
3225314552,kubernetes/kubernetes,32,28,0,1,6,4,4,1,0.875,4,4,True
3460530224,kubernetes/kubernetes,214,221,12,3,12,6,19,1,1.0327,6,6,True
3499150229,kubernetes/kubernetes,4,3,0,0,0,1,1,0,0.75,1,1,True
3420898872,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
3620716268,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,0,0,False
3061743078,kubernetes/kubernetes,4,2,0,0,0,2,2,0,0.5,2,2,True
3682155935,kubernetes/kubernetes,79,80,4,2,7,3,7,1,1.0127,3,3,True
3403091034,kubernetes/kubernetes,131,139,14,2,5,5,18,1,1.0611,5,5,True
3424138634,kubernetes/kubernetes,733,782,66,0,65,3,55,1,1.0668,3,3,True
3357473713,kubernetes/kubernetes,4,3,0,0,0,1,1,0,0.75,1,1,True
2985728044,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
3121626860,kubernetes/kubernetes,8,8,1,0,0,1,2,0,1.0,1,1,True
3332465594,kubernetes/kubernetes,156,155,11,2,12,11,21,1,0.9936,11,11,True
3446672991,kubernetes/kubernetes,24,22,1,0,0,3,4,1,0.9167,3,3,True
2981967498,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,0,0,False
3430470810,kubernetes/kubernetes,43,45,4,2,3,2,6,1,1.0465,2,2,True
3670871898,kubernetes/kubernetes,33,32,4,1,7,3,5,1,0.9697,3,3,True
3203330000,kubernetes/kubernetes,2,1,0,0,0,1,1,0,0.5,1,1,True
3888134347,kubernetes/kubernetes,224,238,23,3,21,8,30,1,1.0625,8,8,True
3153460445,kubernetes/kubernetes,206,215,19,0,24,10,29,1,1.0437,10,10,True
3150338516,kubernetes/kubernetes,485,531,52,1,5,4,54,1,1.0948,4,4,True
3843302387,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,0,0,False
3670258196,kubernetes/kubernetes,7,6,0,0,0,1,1,0,0.8571,1,1,True
3274762548,kubernetes/kubernetes,15,13,1,0,2,3,4,0,0.8667,3,3,True
3594731923,kubernetes/kubernetes,176,174,0,0,0,2,2,0,0.9886,2,2,True
3271729782,kubernetes/kubernetes,87,94,12,0,12,4,15,1,1.0805,4,4,True
3409856973,kubernetes/kubernetes,334,335,17,3,16,12,25,1,1.003,12,12,True
3883663022,kubernetes/kubernetes,89,91,8,2,5,4,10,1,1.0225,6,4,True
3297197856,kubernetes/kubernetes,21,17,0,0,0,4,4,0,0.8095,4,4,True
3008704156,kubernetes/kubernetes,894,939,57,14,51,13,71,1,1.0503,16,13,True
3271605094,kubernetes/kubernetes,539,605,73,12,23,11,88,1,1.1224,11,11,True
3208176889,kubernetes/kubernetes,77,82,6,1,0,2,9,1,1.0649,2,2,True
3432160310,kubernetes/kubernetes,24,22,0,0,0,2,2,0,0.9167,2,2,True
3650810808,kubernetes/kubernetes,73,77,7,2,3,3,10,1,1.0548,3,3,True
3603435686,kubernetes/kubernetes,82,81,7,1,5,8,15,1,0.9878,8,8,True
3929598222,kubernetes/kubernetes,0,0,0,0,0,0,0,0,0.0,0,0,False
3054982686,kubernetes/kubernetes,243,242,24,2,29,24,47,1,0.9959,27,24,True
3068213159,kubernetes/kubernetes,208,206,6,0,14,7,12,1,0.9904,8,7,True
3688324818,kubernetes/kubernetes,21,21,1,0,1,1,2,1,1.0,1,1,True
3041262302,kubernetes/kubernetes,168,182,23,2,26,9,32,1,1.0833,9,9,True
3389046387,kubernetes/kubernetes,1911,1956,51,27,42,21,87,2,1.0235,22,21,True
3108595992,kubernetes/kubernetes,4413,4479,209,47,143,152,370,2,1.015,156,152,True
3009091335,kubernetes/kubernetes,118,111,0,0,6,7,7,0,0.9407,7,7,True
3235947299,kubernetes/kubernetes,279,293,20,11,20,9,32,1,1.0502,9,9,True
3073584871,kubernetes/kubernetes,8,9,2,0,0,1,3,1,1.125,1,1,True
3637017076,kubernetes/kubernetes,28078,28560,1934,252,1963,1185,2852,2,1.0172,1249,1185,True
3345905754,kubernetes/kubernetes,5,3,0,0,0,2,2,0,0.6,2,2,True
