combo_id,group,prompt_type,context_type,accuracy,precision,recall,f1,roc_auc,specificity,balanced_accuracy,fpr,tn,fp,fn,tp
B01,baseline,P1,C1,0.48,0.4898,0.96,0.6486,0.5024,0,0.48,1,0,25,1,24
B02,baseline,P1,C2,0.56,0.5333,0.96,0.6857,0.5704,0.16,0.56,0.84,4,21,1,24
B03,baseline,P1,C3,0.56,0.5349,0.92,0.6765,0.5736,0.2,0.56,0.8,5,20,2,23
B04,baseline,P1,C4,0.56,0.5333,0.96,0.6857,0.6352,0.16,0.56,0.84,4,21,1,24
B05,baseline,P2,C1,0.52,0.5102,1.0,0.6757,0.5064,0.04,0.52,0.96,1,24,0,25
B06,baseline,P2,C2,0.56,0.5333,0.96,0.6857,0.5208,0.16,0.56,0.84,4,21,1,24
B07,baseline,P2,C3,0.52,0.5111,0.92,0.6571,0.5,0.12,0.52,0.88,3,22,2,23
B08,baseline,P2,C4,0.54,0.5238,0.88,0.6567,0.5712,0.2,0.54,0.8,5,20,3,22
B09,baseline,P3,C1,0.48,0.4878,0.8,0.6061,0.444,0.16,0.48,0.84,4,21,5,20
B10,baseline,P3,C2,0.52,0.5128,0.8,0.625,0.5584,0.24,0.52,0.76,6,19,5,20
B11,baseline,P3,C3,0.5714,0.5556,0.8,0.6557,0.5525,0.3333,0.5667,0.6667,8,16,5,20
B12,baseline,P3,C4,0.58,0.5556,0.8,0.6557,0.5968,0.36,0.58,0.64,9,16,5,20
B13,baseline,P4,C1,0.44,0.4681,0.88,0.6111,0.4296,0,0.44,1,0,25,3,22
B14,baseline,P4,C2,0.6,0.5581,0.96,0.7059,0.588,0.24,0.6,0.76,6,19,1,24
B15,baseline,P4,C3,0.58,0.5455,0.96,0.6957,0.6328,0.2,0.58,0.8,5,20,1,24
B16,baseline,P4,C4,0.54,0.5227,0.92,0.6667,0.52,0.16,0.54,0.84,4,21,2,23
I01,improved,P5,C5,0.625,0.5714,0.8696,0.6897,0.6643,0.4,0.6348,0.6,10,15,3,20
I02,improved,P5,C6,0.66,0.625,0.8,0.7018,0.6864,0.52,0.66,0.48,13,12,5,20
I03,improved,P5,C7,0.6809,0.625,0.8696,0.7273,0.7264,0.5,0.6848,0.5,12,12,3,20
I04,improved,P5,C8,0.6809,0.6364,0.875,0.7368,0.6893,0.4783,0.6766,0.5217,11,12,3,21
I05,improved,P6,C5,0.6,0.5641,0.88,0.6875,0.5376,0.32,0.6,0.68,8,17,3,22
I06,improved,P6,C6,0.6667,0.6111,0.9167,0.7333,0.5998,0.4167,0.6667,0.5833,10,14,2,22
I07,improved,P6,C7,0.6327,0.5789,0.9167,0.7097,0.7358,0.36,0.6383,0.64,9,16,2,22
I08,improved,P6,C8,0.64,0.6061,0.8,0.6897,0.7144,0.48,0.64,0.52,12,13,5,20
I09,improved,P7,C5,0.5833,0.5676,0.84,0.6774,0.6078,0.3043,0.5722,0.6957,7,16,4,21
I10,improved,P7,C6,0.6,0.5714,0.8,0.6667,0.652,0.4,0.6,0.6,10,15,5,20
I11,improved,P7,C7,0.625,0.6,0.84,0.7,0.7087,0.3913,0.6157,0.6087,9,14,4,21
I12,improved,P7,C8,0.66,0.6111,0.88,0.7213,0.6632,0.44,0.66,0.56,11,14,3,22
I13,improved,P8,C5,0.625,0.6,0.75,0.6667,0.6007,0.5,0.625,0.5,12,12,6,18
I14,improved,P8,C6,0.7234,0.7143,0.8,0.7547,0.6927,0.6364,0.7182,0.3636,14,8,5,20
I15,improved,P8,C7,0.5957,0.5926,0.6667,0.6275,0.6649,0.5217,0.5942,0.4783,12,11,8,16
I16,improved,P8,C8,0.6735,0.68,0.68,0.68,0.7075,0.6667,0.6733,0.3333,16,8,8,17
